,Breweries Per Capita 2013,Breweries Per Capita 2014,Breweries Per Capita 2015,Graduates Per Capita 2013,Graduates Per Capita 2014,Graduates Per Capita 2015,State Name
0,0.339009711950228,0.37989487766028174,0.47397729242503034,1.8713336099652582,1.818068343088491,2.017789044895129,Alaska
1,0.04761379334330187,0.05158456433018165,0.061741365830146624,3.6973145613537888,3.784243639262126,3.80121008960936,Alabama
2,0.06085281158583441,0.07752369107146168,0.09737412212192315,2.549056663095508,3.0065709754671226,2.961516403846076,Arkansas
3,0.08897871885424366,0.11443376907830138,0.13327348231160657,3.4927917434987847,3.52961300728527,3.766806555004968,Arizona
4,0.13744943006385565,0.16859019746990453,0.2013037843221036,4.177109005311796,4.2918321065389,4.335695212582161,California
5,0.4439274144529107,0.5601625815876801,0.6450934230892864,4.699180365811366,5.155362959211948,5.228555500209472,Colorado
6,0.10841862264981786,0.13909126668191107,0.16430485401095996,4.987256641891621,5.190886072568921,5.435984322532099,Connecticut
7,0.16935061735997783,0.18186337211064568,0.19338676758480755,14.88745881700896,15.170436290229693,15.753583605562397,District of Columbia
8,0.14048692769137833,0.16026188929536053,0.22200280357826233,3.447333071811514,3.5791821942630517,3.668332040078906,Delaware
9,0.05766934104408148,0.07937477195452187,0.10112833570582054,3.4285188772932687,3.529163120129849,3.7925592434456017,Florida
10,0.03703124696619007,0.04753825145595799,0.05286416064439454,3.522972684351055,3.8436657062619366,3.9060740920580406,Georgia
11,0.12067307180402694,0.14081958406119455,0.18161459566653604,2.9884331311467847,3.10507182854934,3.373840373343727,Hawaii
12,0.1746315920192069,0.19295824608672635,0.22728007531613537,4.970532535805945,5.142337258211257,5.56676128133464,Iowa
13,0.2604190887192031,0.3119636213715878,0.3444254439764824,4.575935416065997,4.905780869412028,5.178466762944656,Idaho
14,0.09542591767924168,0.12730755619250736,0.1632971085914108,3.776694042784947,3.7353900024289346,3.709954786141052,Illinois
15,0.14458525187816243,0.17581404936131,0.2281077030913881,3.5567971962027958,3.6026723735502917,3.808341188697943,Indiana
16,0.08636682408459803,0.09302303146900248,0.1270761058798114,3.40976221485993,3.407399189734943,3.4482273054954233,Kansas
17,0.05683755825849721,0.08611669673574661,0.10847232102744982,2.8828009548709788,2.8509159077255064,2.9151936276127137,Kentucky
18,0.03241497390270451,0.03656708231250229,0.05352489250060591,3.9243728404874263,3.8546006767061236,4.185646593547381,Louisiana
19,0.12222733987100544,0.14507505709739746,0.18250264702427962,7.493132165018833,8.252994319571336,8.523167975141961,Massachusetts
20,0.0724388649672172,0.09204487907478497,0.12153700693643331,5.394168502907662,5.375420937967442,5.625665019701482,Maryland
21,0.4515426956195843,0.533731853116994,0.6318982222596681,4.665941188069038,5.05165922950169,4.912256418280515,Maine
22,0.19695963014415627,0.2581606497419503,0.3184656887485669,4.575523715656553,4.712440297828647,4.759852683416081,Michigan
23,0.1383625730346842,0.207068740408182,0.25867122413788707,5.187674071647092,5.40211191790549,5.729021126152499,Minnesota
24,0.10424064167229787,0.12698251450775228,0.1479369696459638,3.95287131674793,4.126107159719432,4.194834961516663,Missouri
25,0.02340373175846279,0.03340634847565162,0.046786236692239795,4.443365643856721,4.710295135066878,4.688649291372317,Mississippi
26,0.4830432116655921,0.6059113493059384,0.7163954851594803,3.972783965331299,4.41728919171426,4.172519650050487,Montana
27,0.12696243293336443,0.15592954278339463,0.20611777470072595,3.988651793034577,4.295607404419969,4.457919214179469,North Carolina
28,0.11055434713512229,0.13512783092805794,0.14532445004604141,4.961126327688612,4.972704178152533,5.08635575161145,North Dakota
29,0.1337399026373509,0.18587558019734676,0.20567559158101245,4.680896592307281,5.130166013446771,5.189353387582468,Nebraska
30,0.2646182692453087,0.34638658550176354,0.47346776811803326,4.2112107419896265,4.631038045295317,5.1029303897165805,New Hampshire
31,0.04153857069595293,0.054816931585336987,0.07925864809528631,3.6250822912765406,3.553032137041434,3.8111130224972882,New Jersey
32,0.23000733148369104,0.2876915486292217,0.34050977670711696,2.7313370613688313,2.900889782011319,2.83438419766065,New Mexico
33,0.09317774084116563,0.1197908170473607,0.13490865127670285,1.945981279875113,2.194990559426639,2.321120641196605,Nevada
34,0.09801416197993076,0.12912139020899335,0.16619694560323456,4.727024972586505,4.7314128239718976,5.067238788285854,New York
35,0.09851167864591723,0.13020611023645948,0.16102057076539794,3.7685037769723246,4.133828426977396,4.153814082204704,Ohio
36,0.044116826546911105,0.04639641613461147,0.053690067184170735,3.2309087677002544,3.4230244792646682,3.5205344053620524,Oklahoma
37,0.560077188819841,0.6144235422927365,0.6974475158334237,3.7576087759003878,4.064260644510151,4.008461701320211,Oregon
38,0.14315288039240473,0.18211993387092323,0.21714503796640391,5.142552107648463,5.378400278823274,5.567661261239306,Pennsylvania
39,0.11397570038067883,0.1327131206826763,0.14200538105723953,6.373141246286292,6.616697016893433,7.299076586342112,Rhode Island
40,0.06291289206790063,0.07661787971407036,0.10416356048206078,4.7415349655174435,4.8414216965269325,5.332765812130603,South Carolina
41,0.14196647225146994,0.17578729268818616,0.22132424117819047,4.400960639795568,4.382963164358775,4.799241440284972,South Dakota
42,0.07850828108427634,0.10537924386268993,0.13332729320292913,2.827837497094424,3.0117082448873123,3.199855036870299,Tennessee
43,0.0483006583153319,0.06301179009897966,0.08008995120847363,3.5312309415224687,3.4812160741742177,3.668847855813624,Texas
44,0.08265359362327525,0.09169644537031439,0.09679834468154846,5.086639907565732,5.219905056821231,5.300543839803413,Utah
45,0.10280755333141829,0.14048826034467896,0.18489816226734296,4.29251772674357,4.470408489429399,4.708342235285178,Virginia
46,0.7175557182015184,0.8136995087488652,1.0542423671255283,6.968263307868078,7.08397219381365,7.6352704770606445,Vermont
47,0.3814560176192527,0.4445598475244671,0.5341440049448067,3.79735163404429,4.009533401876722,4.302439308759084,Washington
48,0.2541936290371302,0.2916954310772312,0.32748044343970906,5.4564577630299045,5.663752953416239,5.7802897318247055,Wisconsin
49,0.04857027984576238,0.07031774425003691,0.09218449044751775,3.3729361004001652,3.331979266001749,3.2318797827482695,West Virginia
50,,,,,,,
